t,theta_deg,rate_dps,wheel_rpm,duty,phase
0.524,2.1161486291998064,-4.773476045472291,169.77334296277394,0.3449552559493735,BALANCING
0.526,2.106609253667889,-4.765625738264333,170.11771004665053,0.34529621332064797,BALANCING
0.528,2.097085587066125,-4.7577689949628565,170.4604665724513,0.34563499403322767,BALANCING
0.53,2.0875776414081533,-4.749906668675119,170.80161632620323,0.3459715844922033,BALANCING
0.532,2.078085427098621,-4.742039515497739,171.14116296459588,0.34630597324450946,BALANCING
0.534,2.068608953115748,-4.7341682059459185,171.4791100301965,0.34663815072612997,BALANCING
0.536,2.0591482271723875,-4.726293335035088,171.81546096486966,0.34696810903910663,BALANCING
0.538,2.0497032558581143,-4.7184154311738284,172.1502191216137,0.34729584175484,BALANCING
0.54,2.0402740447645766,-4.710534964008273,172.48338777500012,0.3476213437405811,BALANCING
0.542,2.030860598596085,-4.702652351341582,172.81497013038089,0.34794461100637847,BALANCING
0.544,2.0214629212671844,-4.694767965237567,173.14496933200877,0.34826564057007064,BALANCING
0.546,2.012081015988737,-4.686882137404652,173.47338847019918,0.3485844303381955,BALANCING
0.548,2.002714885343869,-4.678995163945031,173.80023058764627,0.34890097900093936,BALANCING
0.55,1.993364531354992,-4.671107309543866,174.12549868499298,0.34921528593947143,BALANCING
0.552,1.9840299555429284,-4.663218811164547,174.4491957257432,0.3495273511442019,BALANCING
0.554,1.9747111589790913,-4.655329881308262,174.77132464059363,0.34983717514267726,BALANCING
0.556,1.9654081423315257,-4.647440710889245,175.09188833125336,0.3501447589359755,BALANCING
0.558,1.9561209059055416,-4.6395514717710045,175.41088967381216,0.3504501039425989,BALANCING
0.56,1.9468494496795732,-4.6316623190035315,175.72833152171032,0.3507532119489815,BALANCING
0.562,1.9375937733368291,-4.623773392796718,176.04421670835706,0.35105408506582986,BALANCING
0.5640000000000001,1.9283538762932264,-4.615884820261103,176.35854804943898,0.35135272568961046,BALANCING
0.5660000000000001,1.9191297577220525,-4.607996716943378,176.67132834495527,0.3516491364685763,BALANCING
0.5680000000000001,1.9099214165757337,-4.600109188180852,176.98256038101172,0.3519433202727983,BALANCING
