t,theta_deg,rate_dps,wheel_rpm,duty,phase
2.424,-1.1677615417967862,-0.28058998037511984,144.4121219385371,0.2167295469245175,BALANCING
2.426,-1.1683192546955183,-0.2774090872345549,144.21139886656022,0.21637197063842045,BALANCING
2.428,-1.1688706129306716,-0.2742352996371797,144.01059217499133,0.21601441553510647,BALANCING
2.43,-1.169415630709341,-0.2710686124352472,143.80970292413684,0.21565688306027134,BALANCING
2.432,-1.1699543222283066,-0.2679090204645303,143.6087321718924,0.21529937465575702,BALANCING
2.434,-1.1704867016740006,-0.2647565185443867,143.4076809737447,0.21494189175955564,BALANCING
2.436,-1.1710127832224742,-0.2616111014778236,143.2065503827733,0.21458443580581343,BALANCING
2.438,-1.1715325810393655,-0.25847276405156266,143.0053414496525,0.21422700822483487,BALANCING
2.44,-1.1720461092798669,-0.255341501036104,142.80405522265318,0.21386961044308656,BALANCING
2.442,-1.1725533820886918,-0.2522173071857911,142.60269274764468,0.21351224388320122,BALANCING
2.444,-1.173054413600044,-0.24910017723887484,142.4012550680966,0.21315490996398168,BALANCING
2.446,-1.1735492179375848,-0.24599010591757772,142.19974322508068,0.21279761010040504,BALANCING
2.448,-1.1740378092144,-0.2428870879281584,141.99815825727276,0.21244034570362647,BALANCING
2.45,-1.1745202015329694,-0.23979111796097508,141.79650120095454,0.21208311818098335,BALANCING
2.452,-1.1749964089851352,-0.23670219069054962,141.59477309001542,0.21172592893599942,BALANCING
2.454,-1.175466445652069,-0.23362030077563195,141.39297495595468,0.21136877936838858,BALANCING
2.456,-1.1759303256042415,-0.23054544285926296,141.19110782788295,0.21101167087405906,BALANCING
2.458,-1.176388062901391,-0.22747761156883886,140.98917273252445,0.2106546048451174,BALANCING
2.46,-1.1768396715924916,-0.22441680151617385,140.7871706942187,0.21029758266987264,BALANCING
2.462,-1.1772851657157226,-0.22136300729756447,140.5851027349225,0.20994060573284024,BALANCING
2.464,-1.1777245592984373,-0.21831622349385243,140.3829698742118,0.20958367541474618,BALANCING
2.466,-1.1781578663571328,-0.21527644467048823,140.18077312928372,0.20922679309253098,BALANCING
2.468,-1.1785851008974177,-0.21224366537759343,139.97851351495834,0.20886996013935394,BALANCING
2.47,-1.179006276913984,-0.2092178801500248,139.77619204368065,0.20851317792459695,BALANCING
2.472,-1.1794214083905736,-0.2061990835074364,139.57380972552252,0.20815644781386883,BALANCING
2.474,-1.179830509299951,-0.203187269954343,139.37136756818475,0.2077997711690093,BALANCING
2.476,-1.1802335936038706,-0.20018243398018248,139.1688665769987,0.20744314934809308,BALANCING
2.478,-1.180630675253048,-0.19718457005937867,138.96630775492855,0.20708658370543392,BALANCING
2.48,-1.18102176818713,-0.19419367265140372,138.76369210257312,0.2067300755915889,BALANCING
2.482,-1.181406886334664,-0.19120973620084064,138.5610206181678,0.20637362635336223,BALANCING
2.484,-1.181786043613069,-0.18823275513744536,138.35829429758647,0.20601723733380975,BALANCING
2.486,-1.1821592539286054,-0.18526272387620954,138.1555141343437,0.20566090987224275,BALANCING
2.488,-1.1825265311763467,-0.18229963681742264,137.95268111959643,0.2053046453042321,BALANCING
2.49,-1.1828878892401482,-0.17934348834673305,137.74979624214615,0.2049484449616126,BALANCING
2.492,-1.1832433419926198,-0.1763942728352112,137.54686048844073,0.20459231017248697,BALANCING
2.494,-1.1835929032950958,-0.1734519846394108,137.34387484257653,0.20423624226122994,BALANCING
2.496,-1.1839365869976062,-0.17051661810143082,137.14084028630026,0.20388024254849238,BALANCING
2.498,-1.1842744069388478,-0.16758816754897704,136.93775779901122,0.20352431235120563,BALANCING
2.5,-1.1846063769461552,-0.16466662729542336,136.73462835776292,0.2031684529825856,BALANCING
2.5020000000000002,-1.1849325108354731,-0.16175199163987383,136.5314529372654,0.20281266575213663,BALANCING
2.504,-1.1852528224113268,-0.15884425486722342,136.3282325098872,0.2024569519656561,BALANCING
2.5060000000000002,-1.1855673254667942,-0.1559434112482195,136.12496804565708,0.20210131292523828,BALANCING
2.508,-1.1858760337834784,-0.15304945503952297,135.92166051226647,0.2017457499292786,BALANCING
2.5100000000000002,-1.1861789611314777,-0.15016238048376943,135.7183108750712,0.20139026427247791,BALANCING
2.512,-1.1864761212693598,-0.14728218180963012,135.5149200970936,0.20103485724584652,BALANCING
2.5140000000000002,-1.186767527944132,-0.14440885323187247,135.31148913902456,0.20067953013670842,BALANCING
2.516,-1.187053194891215,-0.14154238895142113,135.10801895922552,0.20032428422870557,BALANCING
2.5180000000000002,-1.1873331358344146,-0.1386827831554188,134.9045105137305,0.19996912080180193,BALANCING
2.52,-1.1876073644858938,-0.1358300300172861,134.70096475624823,0.19961404113228778,BALANCING
2.5220000000000002,-1.187875894546146,-0.1329841236967826,134.4973826381641,0.1992590464927839,BALANCING
2.524,-1.188138739703968,-0.13014505834006723,134.29376510854235,0.19890413815224584,BALANCING
2.5260000000000002,-1.1883959136364317,-0.12731282807975838,134.09011311412786,0.19854931737596784,BALANCING
2.528,-1.1886474300088583,-0.12448742703499381,133.88642759934854,0.19819458542558754,BALANCING
2.5300000000000002,-1.1888933024747914,-0.12166884931149112,133.6827095063172,0.1978399435590897,BALANCING
2.532,-1.1891335446759688,-0.11885708900160724,133.47895977483358,0.1974853930308107,BALANCING
2.5340000000000003,-1.1893681702422971,-0.11605214018439845,133.27517934238662,0.1971309350914428,BALANCING
2.536,-1.189597192791825,-0.1132539969256806,133.07136914415636,0.19677657098803827,BALANCING
2.5380000000000003,-1.189820625930717,-0.11046265327808812,132.8675301130161,0.19642230196401353,BALANCING
2.54,-1.1900384832532263,-0.10767810328113375,132.66366317953447,0.19606812925915365,BALANCING
2.5420000000000003,-1.1902507783416698,-0.10490034096126827,132.45976927197754,0.19571405410961645,BALANCING
2.544,-1.1904575247664007,-0.1021293603319399,132.25584931631087,0.1953600777479366,BALANCING
2.5460000000000003,-1.1906587360857834,-0.09936515539365287,132.0519042362017,0.1950062014030302,BALANCING
2.548,-1.1908544258461682,-0.09660772013402728,131.8479349530209,0.1946524263001988,BALANCING
2.5500000000000003,-1.1910446075818641,-0.09385704852785798,131.6439423858453,0.19429875366113364,BALANCING
2.552,-1.1912292948151144,-0.09111313453717315,131.4399274514596,0.19394518470392025,BALANCING
2.5540000000000003,-1.191408501056071,-0.08837597211129379,131.23589106435853,0.19359172064304214,BALANCING
2.556,-1.191582239802769,-0.08564555518689175,131.0318341367491,0.19323836268938566,BALANCING
2.5580000000000003,-1.1917505245411006,-0.08292187768804896,130.82775757855256,0.19288511205024395,BALANCING
2.56,-1.1919133687447914,-0.08020493352631587,130.62366229740664,0.19253196992932137,BALANCING
2.562,-1.192070785875375,-0.07749471660077016,130.41954919866757,0.19217893752673748,BALANCING
