t,theta_deg,rate_dps,wheel_rpm,duty,phase
1.784,-1.3779105780761118,-1.1534795675610177,236.7289624305484,0.36913406977825497,BALANCING
1.786,-1.380211292777591,-1.1476109032396662,236.489122354149,0.36866456559347377,BALANCING
1.788,-1.3825002802296962,-1.1417525840709448,236.24891046452805,0.36819472876896087,BALANCING
1.79,-1.3847775611228652,-1.1359046079249036,236.00832872904903,0.36772456213294985,BALANCING
1.792,-1.3870431561432335,-1.1300669726335402,235.76737911154072,0.36725406850774595,BALANCING
1.794,-1.3892970859725577,-1.1242396759909095,235.52606357229803,0.36678325070972934,BALANCING
1.796,-1.39153937128814,-1.1184227157532287,235.28438406808297,0.36631211154935855,BALANCING
1.798,-1.3937700327627527,-1.1126160896389838,235.04234255212552,0.3658406538311741,BALANCING
1.8,-1.3959890910645625,-1.106819795329037,234.79994097412458,0.36536888035380194,BALANCING
1.802,-1.3981965668570555,-1.1010338304667326,234.55718128024893,0.36489679390995744,BALANCING
1.804,-1.4003924807989627,-1.095258192658003,234.31406541313825,0.3644243972864486,BALANCING
1.806,-1.4025768535441847,-1.089492879471475,234.07059531190396,0.36395169326417964,BALANCING
1.808,-1.404749705741717,-1.0837378884385767,233.82677291213022,0.36347868461815497,BALANCING
1.81,-1.4069110580355775,-1.0779932170536415,233.58260014587518,0.3630053741174825,BALANCING
1.812,-1.4090609310647295,-1.072258862774016,233.33807894167163,0.36253176452537755,BALANCING
1.814,-1.41119934546301,-1.0665348230201648,233.09321122452823,0.36205785859916634,BALANCING
1.816,-1.4133263218590562,-1.0608210951757764,232.84799891593062,0.36158365909028983,BALANCING
1.818,-1.41544188087623,-1.0551176765878687,232.60244393384215,0.3611091687443072,BALANCING
1.82,-1.4175460431325468,-1.0494245645668936,232.35654819270533,0.36063439030089994,BALANCING
1.822,-1.419638829240602,-1.0437417563868445,232.11031360344268,0.36015932649387533,BALANCING
1.824,-1.421720259807497,-1.0380692492853594,231.8637420734578,0.35968398005117,BALANCING
1.826,-1.4237903554347684,-1.0324070404638268,231.61683550663653,0.35920835369485443,BALANCING
1.828,-1.4258491367183146,-1.0267551270874917,231.3695958033481,0.3587324501411357,BALANCING
1.83,-1.4278966242483233,-1.0211135062855587,231.1220248604462,0.3582562721003622,BALANCING
1.832,-1.4299328386092003,-1.0154821751512983,230.87412457127013,0.357779822277027,BALANCING
1.834,-1.4319578003794975,-1.0098611307421517,230.6258968256459,0.35730310336977167,BALANCING
1.836,-1.4339715301318412,-1.0042503700798338,230.3773435098874,0.35682611807139014,BALANCING
1.838,-1.435974048432861,-0.9986498901504394,230.12846650679762,0.3563488690688329,BALANCING
1.84,-1.4379653758431177,-0.9930596879045475,229.87926769566982,0.3558713590432103,BALANCING
1.842,-1.4399455329170345,-0.9874797602573249,229.62974895228868,0.35539359066979687,BALANCING
1.844,-1.441914540202824,-0.9819101040886303,229.37991214893157,0.354915566618035,BALANCING
1.846,-1.4438724182424187,-0.976350716243119,229.12975915436968,0.35443728955153914,BALANCING
1.848,-1.4458191875714013,-0.9708015935303471,228.8792918338693,0.35395876212809907,BALANCING
1.85,-1.4477548687189332,-0.9652627327248747,228.6285120491931,0.3534799869996848,BALANCING
1.852,-1.449679482207686,-0.9597341305663705,228.37742165860132,0.3530009668124497,BALANCING
1.854,-1.4515930485537705,-0.9542157837597139,228.126022516853,0.3525217042067349,BALANCING
1.856,-1.4534955882666687,-0.9487076889751009,227.8743164752074,0.3520422018170732,BALANCING
1.858,-1.455387121849163,-0.943209842848146,227.62230538142515,0.35156246227219295,BALANCING
1.86,-1.4572676697972686,-0.9377222419799853,227.36999107976956,0.3510824881950222,BALANCING
1.862,-1.4591372526001636,-0.9322448829373812,227.117375411008,0.3506022822026926,BALANCING
1.864,-1.4609958907401204,-0.926777762252824,226.86446021241315,0.35012184690654363,BALANCING
1.866,-1.4628436046924385,-0.9213208764246361,226.61124731776448,0.34964118491212653,BALANCING
1.868,-1.4646804149253745,-0.9158742219170748,226.3577385573493,0.3491602988192083,BALANCING
1.87,-1.4665063419000752,-0.9104377951604338,226.10393575796445,0.3486791912217759,BALANCING
1.872,-1.4683214060705099,-0.9050115925511476,225.84984074291745,0.34819786470804037,BALANCING
1.874,-1.4701256278834016,-0.8995956104518934,225.59545533202794,0.3477163218604409,BALANCING
1.8760000000000001,-1.471919027778161,-0.8941898451916933,225.34078134162908,0.34723456525564866,BALANCING
1.8780000000000001,-1.4737016261868185,-0.8887942930660171,225.08582058456892,0.3467525974645716,BALANCING
1.8800000000000001,-1.4754734435339574,-0.8834089503368844,224.83057487021188,0.3462704210523581,BALANCING
1.8820000000000001,-1.477234500236647,-0.8780338132329671,224.57504600444008,0.34578803857840107,BALANCING
1.8840000000000001,-1.478984816704376,-0.8726688779496907,224.31923578965484,0.34530545259634243,BALANCING
1.8860000000000001,-1.4807244133389865,-0.8673141406493369,224.0631460247781,0.3448226656540772,BALANCING
1.8880000000000001,-1.4824533105346076,-0.8619695974611452,223.80677850525385,0.3443396802937577,BALANCING
1.8900000000000001,-1.484171528677589,-0.8566352444814146,223.55013502304965,0.34385649905179755,BALANCING
1.8920000000000001,-1.4858790881464354,-0.8513110777736049,223.29321736665813,0.3433731244588764,BALANCING
