t,theta_deg,rate_dps,wheel_rpm,duty,phase
0.0,16.0,0.0,0.0,-1,SPINUP
0.002,16.0,0.0,-6.436476596174447,-1,SPINUP
0.004,16.0,0.0,-12.801832631651454,-1,SPINUP
0.006,16.0,0.0,-19.096853960939825,-1,SPINUP
0.008,16.0,0.0,-25.32231775516197,-1,SPINUP
0.01,16.0,0.0,-31.47899259800195,-1,SPINUP
0.012,16.0,0.0,-37.56763858059332,-1,SPINUP
0.014,16.0,0.0,-43.5890073953585,-1,SPINUP
0.016,16.0,0.0,-49.543842428811296,-1,SPINUP
0.018000000000000002,16.0,0.0,-55.43287885333392,-1,SPINUP
0.02,16.0,0.0,-61.256843717939944,-1,SPINUP
0.022,16.0,0.0,-67.0164560380344,-1,SPINUP
0.024,16.0,0.0,-72.71242688418201,-1,SPINUP
0.026000000000000002,16.0,0.0,-78.34545946989454,-1,SPINUP
0.028,16.0,0.0,-83.91624923844823,-1,SPINUP
0.03,16.0,0.0,-89.42548394874186,-1,SPINUP
0.032,16.0,0.0,-94.87384376020609,-1,SPINUP
0.034,16.0,0.0,-100.26200131677466,-1,SPINUP
0.036000000000000004,16.0,0.0,-105.59062182992774,-1,SPINUP
0.038,16.0,0.0,-110.86036316081756,-1,SPINUP
0.04,16.0,0.0,-116.07187590148673,-1,SPINUP
0.042,16.0,0.0,-121.22580345518911,-1,SPINUP
0.044,16.0,0.0,-126.322782115823,-1,SPINUP
0.046,16.0,0.0,-131.36344114648688,-1,SPINUP
0.048,16.0,0.0,-136.34840285716695,-1,SPINUP
0.05,16.0,0.0,-141.2782826815663,-1,SPINUP
0.052000000000000005,16.0,0.0,-146.15368925308528,-1,SPINUP
0.054,16.0,0.0,-150.97522447996198,-1,SPINUP
0.056,16.0,0.0,-155.74348361958283,-1,SPINUP
0.058,16.0,0.0,-160.45905535197187,-1,SPINUP
0.06,16.0,0.0,-165.12252185246808,-1,SPINUP
0.062,16.0,0.0,-169.73445886359957,-1,SPINUP
0.064,16.0,0.0,-174.29543576616356,-1,SPINUP
0.066,16.0,0.0,-178.80601564952127,-1,SPINUP
0.068,16.0,0.0,-183.26675538111556,-1,SPINUP
0.07,16.0,0.0,-187.67820567522088,-1,SPINUP
0.07200000000000001,16.0,0.0,-192.04091116093332,-1,SPINUP
0.074,16.0,0.0,-196.35541044940953,-1,SPINUP
0.076,16.0,0.0,-200.6222362003625,0.0,KICK
0.078,16.0,0.0,-199.95460874363,0.0,KICK
0.08,16.0,0.0,-199.28920300682952,0.0,KICK
0.082,16.0,0.0,-198.62601159655725,0.0,KICK
0.084,16.0,0.0,-197.96502714401282,0.0,KICK
0.08600000000000001,16.0,0.0,-197.30624230491782,0.0,KICK
0.088,16.0,0.0,-196.64964975943383,0.0,KICK
0.09,16.0,0.0,-195.99524221208145,0.0,KICK
0.092,16.0,0.0,-195.34301239165893,0.0,KICK
0.094,16.0,0.0,-194.69295305116157,0.0,KICK
0.096,16.0,0.0,-194.04505696770113,0.0,KICK
0.098,16.0,0.0,-193.3993169424256,1,KICK
0.1,15.998783407198875,-1.2136764173055445,-189.10067750451555,1,KICK
0.10200000000000001,15.995156830551535,-2.410048110215641,-184.82585318246348,1,KICK
0.10400000000000001,15.989154495477344,-3.5894983392072053,-180.57471203690775,1,KICK
0.106,15.98080986545362,-4.752405803130638,-176.34712285945085,1,KICK
0.108,15.970155651035705,-5.899144742140488,-172.14295516860972,1,KICK
0.11,15.957223818672716,-7.030085039076814,-167.96207920578857,1,KICK
0.112,15.942045599322054,-8.14559231933775,-163.80436593127394,1,KICK
0.114,15.924651496865641,-9.246028049283247,-159.66968702025198,1,KICK
0.116,15.905071296330792,-10.331749633209416,-155.55791485884785,1,KICK
0.11800000000000001,15.883334071918524,-11.40311050893234,-151.46892254018698,1,KICK
0.12,15.85946819484207,-12.460460242019632,-147.4025838604781,1,KICK
0.122,15.83350134097823,-13.504144618707485,-143.3587733151182,1,KICK
0.124,15.8054604983342,-14.534505737540334,-139.33736609481883,1,KICK
0.126,15.775371974332348,-15.551882099769696,-135.33823808175396,1,KICK
0.128,15.743261402915394,-16.556608698548168,-131.36126584572912,1,KICK
0.13,15.709153751474409,-17.549017106953958,-127.40632664037203,1,KICK
0.132,15.673073327601884,-18.529435564880785,-123.47329839934382,1,KICK
0.134,15.635043785672122,-19.498189064827333,-119.56205973257177,1,KICK
0.136,15.595088133251142,-20.45559943661993,-115.67248992250258,1,KICK
0.138,15.55322873733815,-21.40198543110154,-111.80446892037658,1,KICK
0.14,15.509487330440662,-22.337662802819537,-107.95787734252244,1,KICK
0.14200000000000002,15.46388501648522,-23.262944391744185,-104.13259646667252,1,KICK
0.14400000000000002,15.41644227656561,-24.178140204049278,-100.3285082282986,1,KICK
0.146,15.36717897453043,-25.08355749198569,-96.54549521696788,1,KICK
0.148,15.316114362411799,-25.979500832878117,-92.78344067271924,1,KICK
0.15,15.263267085696919,-26.86627220727482,-89.04222848245942,1,KICK
0.152,15.20865518844416,-27.744171076279518,-85.32174317637941,1,KICK
0.154,15.152296118245285,-28.613494458094138,-81.62186992439048,1,KICK
0.156,15.094206731035333,-29.474537003800595,-77.94249453258001,1,KICK
0.158,15.03440329575171,-30.32759107240934,-74.28350343968707,1,KICK
0.16,14.972901498843857,-31.17294680520172,-70.64478371359729,1,KICK
0.162,14.909716448634942,-32.01089219939296,-67.0262230478575,1,KICK
0.164,14.844862679536872,-32.84171318114199,-63.42770975820924,1,KICK
0.166,14.778354156119926,-33.66569367793368,-59.849132779141875,1,KICK
