spin_rpm,kick_ms,capture_deg,inertia_scale,I_w,case,tau,success,peak_opposite_deg,rise_deg,upright_s,capture_s,kick_start_s,tail_angle_deg,tail_rate_dps,impacted,final_phase
200,100,15,0.5,0.001225,nominal,0.18,False,0,2.213686761789914,,0.14200000000000002,0.076,16.0,0.0,True,FALLEN
200,200,15,0.5,0.001225,nominal,0.18,False,0,2.213686761789914,,0.14200000000000002,0.076,16.0,0.0,True,FALLEN
200,350,15,0.5,0.001225,nominal,0.18,False,0,2.213686761789914,,0.14200000000000002,0.076,16.0,0.0,True,FALLEN
200,500,15,0.5,0.001225,nominal,0.18,False,0,2.213686761789914,,0.14200000000000002,0.076,16.0,0.0,True,FALLEN
250,20,5,0.5,0.001225,nominal,0.18,False,0,0.24312815069200866,,,0.10200000000000001,,,True,FALLEN
250,50,5,0.5,0.001225,nominal,0.18,False,0,1.2044950299583146,,,0.10200000000000001,,,True,FALLEN
250,100,5,0.5,0.001225,nominal,0.18,False,0,3.4056305576854555,,,0.10200000000000001,,,True,FALLEN
250,200,5,0.5,0.001225,nominal,0.18,False,0,8.764429458745003,,,0.10200000000000001,,,True,FALLEN
250,350,5,0.5,0.001225,nominal,0.18,True,3.7128998756326097,19.71289987563261,1.008,0.384,0.10200000000000001,1.4239611648155472,4.872787670414749,False,BALANCING
250,500,5,0.5,0.001225,nominal,0.18,True,3.7128998756326097,19.71289987563261,1.008,0.384,0.10200000000000001,1.4239611648155472,4.872787670414749,False,BALANCING
250,20,10,0.5,0.001225,nominal,0.18,False,0,0.24312815069200866,,,0.10200000000000001,,,True,FALLEN
250,50,10,0.5,0.001225,nominal,0.18,False,0,1.2044950299583146,,,0.10200000000000001,,,True,FALLEN
250,100,10,0.5,0.001225,nominal,0.18,False,0,3.4056305576854555,,,0.10200000000000001,,,True,FALLEN
250,200,10,0.5,0.001225,nominal,0.18,False,0,8.291151214519068,,0.28,0.10200000000000001,16.0,0.0,True,FALLEN
250,350,10,0.5,0.001225,nominal,0.18,False,0,8.291151214519068,,0.28,0.10200000000000001,16.0,0.0,True,FALLEN
250,500,10,0.5,0.001225,nominal,0.18,False,0,8.291151214519068,,0.28,0.10200000000000001,16.0,0.0,True,FALLEN
250,20,15,0.5,0.001225,nominal,0.18,False,0,0.24312815069200866,,,0.10200000000000001,,,True,FALLEN
250,50,15,0.5,0.001225,nominal,0.18,False,0,1.2044950299583146,,,0.10200000000000001,,,True,FALLEN
250,100,15,0.5,0.001225,nominal,0.18,False,0,2.4591537214291073,,0.162,0.10200000000000001,16.0,0.0,True,FALLEN
250,200,15,0.5,0.001225,nominal,0.18,False,0,2.4591537214291073,,0.162,0.10200000000000001,16.0,0.0,True,FALLEN
250,350,15,0.5,0.001225,nominal,0.18,False,0,2.4591537214291073,,0.162,0.10200000000000001,16.0,0.0,True,FALLEN
250,500,15,0.5,0.001225,nominal,0.18,False,0,2.4591537214291073,,0.162,0.10200000000000001,16.0,0.0,True,FALLEN
300,20,5,0.5,0.001225,nominal,0.18,False,0,0.30283867016179045,,,0.132,,,True,FALLEN
300,50,5,0.5,0.001225,nominal,0.18,False,0,1.5172127209892796,,,0.132,,,True,FALLEN
300,100,5,0.5,0.001225,nominal,0.18,False,0,4.453899971557666,,,0.132,,,True,FALLEN
300,200,5,0.5,0.001225,nominal,0.18,False,0,14.315563181604507,,,0.132,,,True,FALLEN
300,350,5,0.5,0.001225,nominal,0.18,True,2.510946342541418,18.510946342541416,1.086,0.36,0.132,1.274791682262446,3.2968667682042074,False,BALANCING
300,500,5,0.5,0.001225,nominal,0.18,True,2.510946342541418,18.510946342541416,1.086,0.36,0.132,1.274791682262446,3.2968667682042074,False,BALANCING
300,20,10,0.5,0.001225,nominal,0.18,False,0,0.30283867016179045,,,0.132,,,True,FALLEN
300,50,10,0.5,0.001225,nominal,0.18,False,0,1.5172127209892796,,,0.132,,,True,FALLEN
300,100,10,0.5,0.001225,nominal,0.18,False,0,4.453899971557666,,,0.132,,,True,FALLEN
300,200,10,0.5,0.001225,nominal,0.18,False,0,9.164068695258301,,0.28600000000000003,0.132,16.0,0.0,True,FALLEN
300,350,10,0.5,0.001225,nominal,0.18,False,0,9.164068695258301,,0.28600000000000003,0.132,16.0,0.0,True,FALLEN
300,500,10,0.5,0.001225,nominal,0.18,False,0,9.164068695258301,,0.28600000000000003,0.132,16.0,0.0,True,FALLEN
300,20,15,0.5,0.001225,nominal,0.18,False,0,0.30283867016179045,,,0.132,,,True,FALLEN
